4.15, 3.89, 46.80
1.75, 359.53, 105.01
358.11, 357.40, 215.97
356.84, 350.79, 198.82
358.28, 357.44, 213.88
354.94, 351.87, 211.79
354.49, 20.24, 345.34
26.67, 54.34, 19.81
22.89, 23.35, 44.38
13.81, 344.15, 139.11
11.65, 326.78, 162.53
0.51, 307.32, 179.61
335.60, 300.71, 195.08
323.79, 312.69, 214.04
325.52, 333.73, 234.30
326.99, 355.99, 263.85
331.80, 40.36, 327.76
5.83, 31.54, 9.44
16.13, 20.64, 37.51
16.02, 24.03, 32.79
11.37, 11.46, 44.76
7.05, 358.35, 103.09
8.93, 352.84, 128.65
5.30, 347.74, 156.90
2.66, 347.08, 168.56
1.85, 353.88, 163.24
0.27, 0.34, 38.66
0.80, 2.75, 16.17
2.28, 5.02, 24.35
3.69, 2.85, 52.32
3.33, 356.85, 133.37
